X,Y,OBJECTID,ETE_CD,ETE_NM,ETE_ACH_CD,ETE_AA_OPERACAO,ETE_DS_STATUS,ETE_DS_INTEGRADO,ETE_DS_TOTAL,ETE_DS_TIPOLOGIA,ETE_NM_CORPORECEPTOR,ETE_QT_POPPROJ,ETE_PC_REMOCAODBO,ETE_PC_REMOCAOP,ETE_PC_REMOCAON,ETE_MUN_CD_IBGE,ETE_NM_REGIAOMETROP,ETE_DS_TIPOLOGRESUMIDA
-50.727614,-20.017783,2744,3545704_ETE_1,ETE Santa Albertina,8681178,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa + Lagoa de Maturação, ,0,0.81999999,0,0,3545704, ,LAG
-47.40504,-22.751659,2745,3545803_ETE_6,ETE Ribeirão dos Toledos,86663431,2009,Ativa,Não,Sim,Lodos Ativados de Aeração Prolongada,Ribeirão dos Toledos,0,0.85000002,0,0,3545803,RM Campinas - SP,LAT
-47.38794,-22.7035559999999,2746,3545803_ETE_2,ETE Balsa,8666355,2010,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano),Rio Piracicaba,19963,0.85000002,0,0,3545803,RM Campinas - SP,LAG
-47.404838,-22.73051,2747,3545803_ETE_3,ETE Barrocão - Vila Rica,8666342,0,Ativa,Não,Sim,Lodos Ativados de Aeração Prolongada - Valo de Oxidação/Sistema Carrossel + Lagoa de Maturação, ,0,0.88,0,0,3545803,RM Campinas - SP,LAT
-47.4871479999999,-22.733304,2748,3545803_ETE_4,ETE Cruzeiro do Sul,86663373,0,Ativa,Não,Sim,Reator Anaeróbio + Filtro Aeróbio (FBAS/FBP/BAS/FAE/FBN/Filtro Russo), ,0,0.80000001,0,0,3545803,RM Campinas - SP,RAN
-47.426305,-22.803953,2749,3545803_ETE_1,ETE Andorinhas,86663437,0,Ativa,Não,Sim,Lodos Ativados em Batelada - SBR Sequencing Batch Reactor/ICEAS Aeração Prolongada c/Ciclos Intermitentes, ,0,0.94999999,0,0,3545803,RM Campinas - SP,LAT
-47.380484,-22.7273489999999,2750,3545803_ETE_5,ETE Nova Conquista,8666354,0,Ativa,Não,Sim,Lodos Ativados Convencional, ,0,0.88,0,0,3545803,RM Campinas - SP,LAT
-50.937064,-20.082954,2751,3546108_ETE_1,ETE Santa Clara D'Oeste,8681112,0,Ativa,Não,Sim,Lagoa Facultativa, ,0,0.87,0,0,3546108, ,LAG
-47.4470259999999,-22.129131,2752,3546207_ETE_1,ETE Santa Cruz da Conceição,86847271,0,Ativa,Não,Sim,Lodos Ativados Convencional, ,0,0.85000002,0,0,3546207, ,LAT
-47.4352969999999,-21.297477,2753,3546256_ETE_1,ETE Santa Cruz da Esperança,868425154,0,Ativa,Não,Sim,Lagoa Facultativa, ,0,0.88,0,0,3546256, ,LAG
-47.228269,-21.8506449999999,2754,3546306_ETE_1,ETE Santa Cruz das Palmeiras,86846223,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.75,0,0,3546306, ,LAG
